,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
88,It's Your Thing,Isley Brothers,Pop/Rock,O'Kelly Isley,1969,66,51,2.9166666666666665
89,This Old Heart of Mine (Is Weak for You),Isley Brothers,R&B,Lamont Dozier,1971,73,27,3.1
90,Between the Sheets,Isley Brothers,R&B,Ernie Isley,1983,44,5,2.975
91,Love The One You're With,Isley Brothers,Rousing,Stephen Stills,1971,33,83,2.973684210526316
92,Work To Do,Isley Brothers,R&B,O'Kelly Isley,1972,24,14,2.8684210526315788
93,"Shout, Pts. 1-2",Isley Brothers,Pop/Rock,O'Kelly Isley,1959,21,2,3.0789473684210527
94,Harvest for the World,Isley Brothers,R&B,Ernie Isley,1976,23,11,3.111111111111111
95,I Guess I'll Always Love You,Isley Brothers,Laid-Back/Mellow,Lamont Dozier,1966,21,3,3.107142857142857
96,Voyage to Atlantis,Isley Brothers,R&B,Ernie Isley,1977,17,5,2.9615384615384617
97,Groove With You,Isley Brothers,R&B,Ernie Isley,1978,17,4,3.392857142857143
98,"For the Love of You, Pts. 1 & 2",Isley Brothers,R&B,Ernie Isley,1975,14,1,2.923076923076923
99,Part I,Mats Gustafsson,Jazz,Mats Gustafsson,1997,1,0,2.5
100,Long Time Gone,Chicks,Country,Darrell Scott,2002,3,13,4.0
101,Not Ready to Make Nice,Chicks,Country,Martie Maguire,2006,3,1,3.5
102,There's Your Trouble,Chicks,Country,Mark Selby,1998,2,5,4.5
103,Wide Open Spaces,Chicks,Country,Susan Gibson,1998,8,15,3.142857142857143
104,Landslide,Chicks,Country,Stevie Nicks,2002,7,91,3.0
105,Goodbye Earl,Chicks,Country,Dennis Linde,1999,4,11,4.25
106,I Can Love You Better,Chicks,Country,Pamela Brown Hayes,1998,4,2,4.5
107,"Tortured, Tangled Hearts",Chicks,Country,Martie Maguire,2002,3,0,3.5
108,Without You,Chicks,Country,Natalie Maines,1999,3,5,3.5
109,Cold Day in July,Chicks,Country,Richard Leigh,1999,2,5,4.5
110,Lil' Jack Slade,Chicks,Country,Terri Hendrix,2002,1,0,4.0
111,Let 'Er Rip,Chicks,Country,Billy Crain,1998,2,5,4.5
112,Tonight the Heartache's on Me,Chicks,Country,Mary Francis,1998,2,3,4.5
113,You Were Mine,Chicks,Country,Emily Erwin,1998,1,0,4.5
114,John Henry,Woody Guthrie ,Folk,Traditional,1991,6,319,2.6
115,Do Re Mi,Cisco Houston,Folk,Woody Guthrie,1963,3,33,3.333333333333333
