,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
1644,San-Ho-Zay,Freddie King,Blues,Freddie King,1985,14,18,3.590909090909091
1645,You've Got to Love Her With a Feeling,Freddie King,Blues,Freddie King,1985,7,6,3.6666666666666665
1646,Stumble,Freddie King,Blues,Freddie King,1985,10,22,3.8
1647,Christmas Tears,Freddie King,Blues,Sam Thompson,1988,4,0,3.5
1648,Hideaway,Freddie King,Blues,Freddie King,1969,7,30,3.375
1649,Palace of the King,Freddie King,Blues,"Donald ""Duck"" Dunn",1975,8,10,3.3
1650,Sen-Sa-Shun,Freddie King,Blues,Freddie King,1985,7,4,3.642857142857143
1651,Reconsider Baby,Freddie King,Yearning,Lowell Fulson,1972,6,84,2.5
1652,I'd Rather Be Blind,Freddie King,Blues,Leon Russell,1972,6,7,2.5
1653,Meet Me in the Morning,Freddie King,Blues,Bob Dylan,1975,4,18,2.5
1654,City of New Orleans,Arlo Guthrie,Folk,Steve Goodman,1972,27,67,2.9411764705882355
1655,Coming into Los Angeles,Arlo Guthrie,Folk,Arlo Guthrie,1969,16,8,2.909090909090909
1656,Alice's Rock & Roll Restaurant,Arlo Guthrie,Pop/Rock,Arlo Guthrie,1969,11,0,2.4166666666666665
1657,Alice's Restaurant Massacree,Arlo Guthrie,Folk,Arlo Guthrie,1967,3,0,2.833333333333333
1658,Motorcycle Song,Arlo Guthrie,Folk,Arlo Guthrie,1967,5,1,3.2
1659,Oklahoma Hills,Arlo Guthrie,Folk,Jack Guthrie,1969,3,52,2.0
1660,Darkest Hour,Arlo Guthrie,Folk,Arlo Guthrie,1976,2,0,3.75
1661,Massachusetts,Arlo Guthrie,Folk,Arlo Guthrie,1976,4,0,3.125
1662,Chilling of the Evening,Arlo Guthrie,Folk,Arlo Guthrie,1967,2,0,3.0
1663,Put Your Finger in the Air,Arlo Guthrie ,Children's,Woody Guthrie,1991,3,12,3.5
1664,Riding in My Car (Car Song),Arlo Guthrie ,Folk,Woody Guthrie,1991,3,9,3.5
1665,When the Ship Comes In,Arlo Guthrie,Pop/Rock,Bob Dylan,1972,1,29,3.5
1666,Hobo's Lullaby,Arlo Guthrie,Pop/Rock,Goebel Reeves,1972,3,28,3.5
1667,This Land Is Your Land,Arlo Guthrie ,Folk,Woody Guthrie,1984,3,203,2.5
1668,Cooper's Lament,Arlo Guthrie,Pop/Rock,Arlo Guthrie,1973,2,1,3.5
1669,Portland Town,Arlo Guthrie,Folk,Derroll Adams,2002,1,8,3.5
1670,Howdjadoo,Arlo Guthrie ,Folk,Woody Guthrie,1991,2,1,4.0
1671,Fancy,Reba McEntire,Country,Bobbie Gentry,1990,36,18,3.0
1672,Whoever's in New England,Reba McEntire,Country,Kendal Franceschi,1986,23,4,3.363636363636364
1673,Somebody Should Leave,Reba McEntire,Country,Harlan Howard,1984,16,1,3.142857142857143
1674,Is There Life Out There,Reba McEntire,Country,Rick Giles,1991,17,4,3.45
1675,One Promise Too Late,Reba McEntire,Country,Dave Loggins,1986,13,1,3.25
1676,Little Rock,Reba McEntire,Country,Bob DiPiero,1986,13,5,3.2777777777777777
1677,Does He Love You,Linda Davis ,Country,Sandy Knox,1993,5,7,3.8333333333333335
1678,What Am I Gonna Do About You?,Reba McEntire,Country,Jim Allison,1986,14,2,3.35
1679,Greatest Man I Never Knew,Reba McEntire,Country,Richard Leigh,1991,14,0,3.9
1680,Walk On,Reba McEntire,Country,Steve Dean,1989,11,3,3.2857142857142856
1681,I'll Be Home for Christmas,Reba McEntire,Holiday,Kim Gannon,1987,12,776,2.4166666666666665
1682,Can't Even Get the Blues No More,Reba McEntire,Country,Rick Carnes,1982,9,0,3.071428571428572
1683,Last One to Know,Reba McEntire,Country,Matraca Berg,1987,10,1,3.071428571428572
1684,You Lie,Reba McEntire,Country,Charlie Black,1990,9,4,3.583333333333333
1685,You're the First Time I've Thought About Leaving,Reba McEntire,Country,Kerry Chater,1982,10,1,2.857142857142857
1686,How Blue,Reba McEntire,Country,John Moffat,1984,10,10,3.2142857142857144
1687,New Fool at an Old Game,Reba McEntire,Country,Steve Bogard,1988,8,3,3.1
1688,Love Will Find Its Way to You,Reba McEntire,Country,Dave Loggins,1987,8,5,3.1
1689,I'd Rather Ride Around With You,Reba McEntire,Country,Tim Nichols,1996,9,1,3.0
1690,Rumor Has It,Reba McEntire,Country,Bruce Burch,1990,8,4,3.357142857142857
1691,"If You See Him, If You See Her",Brooks & Dunn ,Country,Tommy Lee James,1998,9,2,3.1875
1692,Take It Back,Reba McEntire,Country,Kristy Jackson,1992,9,5,3.083333333333333
1693,Let the Music (Lift You Up),Reba McEntire,Country,Troy Seals,1986,6,1,2.9
1694,Why Haven't I Heard from You,Reba McEntire,Country,T.W. Hale,1994,10,5,3.125
1695,Place in This World,Michael W. Smith,New Age,Amy Grant,1991,13,9,3.05
1696,All Is Well,Michael W. Smith,Religious,Wayne Kirkpatrick,1989,18,19,2.625
1697,I Will Be Here for You,Michael W. Smith,Religious,Michael W. Smith,1992,7,7,3.2857142857142856
1698,I'll Lead You Home,Michael W. Smith,Religious,Wayne Kirkpatrick,1995,12,1,3.0
1699,Give It Away,Michael W. Smith,Religious,Amy Grant,1992,9,0,3.083333333333333
1700,Secret Ambition,Michael W. Smith,Passionate,Amy Grant,1988,9,3,3.4
1701,Friends,Michael W. Smith,New Age,Deborah Smith,1983,8,12,3.8
1702,Above All,Michael W. Smith,Religious,Paul Baloche,2001,8,50,3.357142857142857
1703,Agnus Dei,Michael W. Smith,Religious,Michael W. Smith,2001,6,51,3.5
1704,Cry for Love,Michael W. Smith,Religious,Brent Bourgeois,1995,7,0,3.333333333333333
1705,Awesome God,Michael W. Smith,Religious,Rich Mullins,1998,5,62,3.0
1706,This Is Your Time,Michael W. Smith,Religious,Wes King,1999,5,1,3.625
1707,Cross of Gold,Michael W. Smith,Religious,Wayne Kirkpatrick,1992,5,0,3.5
1708,Breakdown,Michael W. Smith,Religious,Wayne Kirkpatrick,1995,4,0,3.75
1709,Great Is the Lord,Michael W. Smith,New Age,Deborah Smith,1983,4,10,3.1666666666666665
1710,Something Cool,June Christy,Jazz,Billy Barnes,1955,26,42,3.176470588235294
1711,How High the Moon,June Christy,Vocal,Nancy Hamilton,1957,18,469,3.0
1712,They Can't Take That Away From Me,June Christy,Jazz,George Gershwin,1957,15,487,2.8181818181818183
1713,Willow Weep for Me,June Christy,Jazz,Ann Ronell,1957,15,677,2.75
1714,Tampico,June Christy,Jazz,Doris Fisher,1997,11,13,2.6
1715,Midnight Sun,June Christy,Jazz,Sonny Burke,1955,12,158,3.272727272727273
1716,I'll Take Romance,June Christy,Jazz,Oscar Hammerstein II,1955,11,104,3.0
1717,"It's Been a Long, Long Time",June Christy,Jazz,Sammy Cahn,1992,10,104,3.0
1718,"Bewitched, Bothered and Bewildered",June Christy,Jazz,Lorenz Hart,1959,11,279,3.083333333333333
1719,I Remember You,June Christy,Sentimental,Johnny Mercer,1958,11,316,2.5
1720,It's a Most Unusual Day,June Christy,Romantic,Harold Adamson,1957,9,25,3.0
1721,When You Wish Upon a Star,Joe Castro Quartet ,Jazz,Leigh Harline,1992,13,384,2.9285714285714284
1722,Give Me the Simple Life,June Christy,Amiable/Good-Natured,Rube Bloom,1957,7,80,3.2
1723,"Baby, Baby",Amy Grant,Pop/Rock,Amy Grant,1991,77,11,3.0
1724,It's the Most Wonderful Time of the Year,Amy Grant,Religious,Edward Pola,1994,46,121,2.642857142857143
1725,Hark! The Herald Angels Sing,Amy Grant,Sentimental,Traditional,2000,35,205,3.5
1726,Tennessee Christmas,Amy Grant,Religious,Gary Chapman,1983,33,32,3.071428571428572
1727,Every Heartbeat,Amy Grant,Pop/Rock,Amy Grant,1991,19,7,3.1875
1728,Thy Word,Amy Grant,Pop/Rock,Amy Grant,1998,21,26,3.1666666666666665
1729,I Will Remember You,Amy Grant,Pop/Rock,Gary Chapman,1991,17,3,3.583333333333333
1730,Takes a Little Time,Amy Grant,Pop/Rock,Amy Grant,1997,17,1,3.3125
1731,Lead Me On,Amy Grant,Religious,Amy Grant,1988,16,3,3.571428571428572
1732,Good for Me,Amy Grant,Pop/Rock,Amy Grant,1991,14,1,3.6666666666666665
1733,Angels,Amy Grant,Religious,Brown Bannister,1984,12,6,3.2857142857142856
1734,Lucky One,Amy Grant,Pop/Rock,Amy Grant,1994,12,5,3.5
1735,Rockin' Around the Christmas Tree,Amy Grant,Religious,Johnny Marks,1992,20,245,3.2
1736,Big Yellow Taxi,Amy Grant,Pop/Rock,Joni Mitchell,1994,9,68,3.5
1737,Mister Santa,Amy Grant,Pop/Rock,Pat Ballard,1968,14,5,3.5
1738,Christmas to Remember,Amy Grant,Pop/Rock,Beverly Darnall,1999,13,0,3.4166666666666665
1739,House of Love,Amy Grant,Pop/Rock,Greg Barnhill,1994,8,9,3.0
1740,Let's Stay Together,Al Green,R&B,Al Green,1972,96,147,2.992957746478873
1741,Tired of Being Alone,Al Green,R&B,Al Green,1971,60,27,3.243589743589744
1742,I'm Still in Love With You,Al Green,R&B,Al Green,1972,37,10,3.1481481481481484
1743,L-O-V-E (Love),Al Green,R&B,Al Green,1975,32,3,3.2419354838709675
1744,Love and Happiness,Al Green,R&B,Al Green,1975,29,35,3.380952380952381
1745,Sha-La-La (Make Me Happy),Al Green,R&B,Al Green,1974,29,1,3.425925925925926
1746,You Ought to Be With Me,Al Green,R&B,Al Green,1972,26,3,3.4761904761904763
1747,Let's Get Married,Al Green,R&B,Al Green,1973,26,4,3.4047619047619047
1748,I Can't Get Next to You,Al Green,R&B,Barrett Strong,1970,26,25,3.4761904761904763
1749,Livin' for You,Al Green,R&B,Al Green,1973,23,1,3.380952380952381
1750,Call Me (Come Back Home),Al Green,R&B,Al Green,1975,28,4,3.1923076923076925
1751,Take Me to the River,Al Green,R&B,Al Green,1977,28,40,3.3
1752,How Can You Mend a Broken Heart?,Al Green,R&B,Barry Gibb,1975,25,43,3.083333333333333
1753,Full of Fire,Al Green,R&B,Al Green,1975,20,2,3.4444444444444446
1754,Belle,Al Green,R&B,"Reuben Fairfax, Jr.",1978,19,0,3.6176470588235294
1755,Here I Am (Come and Take Me),Al Green,R&B,Al Green,1975,23,7,3.275
1756,How Can You Mend a Broken Heart,Al Green,R&B,Barry Gibb,1972,19,23,2.9444444444444446
1757,Everything's Gonna Be Alright,Al Green,Sentimental,Eban Kelly,1987,4,0,3.0
1758,For the Good Times,Al Green,R&B,Kris Kristofferson,1972,16,137,3.375
1759,I Want to Hold Your Hand,Al Green,R&B,John Lennon,1970,17,145,3.15
1760,(Rock) Superstar,Cypress Hill,Rap,Louis Freese,2000,3,0,2.75
1761,(Rap) Superstar,Cypress Hill,Rap,Louis Freese,2000,3,0,3.0
1762,Illusions,Cypress Hill,Rap,Louis Freese,1995,4,0,2.1666666666666665
1763,Latin Lingo,Cypress Hill,Rap,Louis Freese,1993,6,0,2.25
1764,Checkmate,Cypress Hill,Rap,Louis Freese,1998,3,0,1.5
1765,Astral Voyager,Tangerine Dream,Pop/Rock,Christopher Franke,1986,8,0,2.571428571428572
1766,Love on a Real Train (Risky Business),Tangerine Dream,Pop/Rock,Christopher Franke,1977,8,1,3.083333333333333
1767,White Eagle,Tangerine Dream,Pop/Rock,Christopher Franke,1982,9,0,3.25
1768,Electric Lion,Tangerine Dream,Stage & Screen,Edgar Froese,1990,7,0,2.75
1769,Catwalk,Tangerine Dream,International,Edgar Froese,1995,6,0,3.125
1770,Sunrise in the Third System,Tangerine Dream,Electronic,Christopher Franke,1971,7,0,2.4285714285714284
1771,Fauni-Gena,Tangerine Dream,Calm/Peaceful,Peter Baumann,1973,6,1,2.9166666666666665
1772,Birth of Liquid Plejades,Tangerine Dream,Pop/Rock,Peter Baumann,1972,5,1,3.3
1773,Alchemy of the Heart,Tangerine Dream,Pop/Rock,Christopher Franke,1987,4,1,2.5
1774,Optical Race,Tangerine Dream,Happy,Edgar Froese,1988,5,0,2.0
1775,Sun Gate,Tangerine Dream,Stage & Screen,Edgar Froese,1988,5,0,1.875
1776,Poland,Tangerine Dream,Rousing,Christopher Franke,1984,3,1,2.5
1777,Stratosfear,Tangerine Dream,Pop/Rock,Peter Baumann,1976,4,1,3.5
1778,Dream Is Always the Same,Tangerine Dream,Pop/Rock,Christopher Franke,1983,8,0,3.6666666666666665
1779,Oriental Haze,Tangerine Dream,Pop/Rock,Edgar Froese,1977,4,0,2.6666666666666665
1780,White Clouds,Tangerine Dream,Pop/Rock,Christopher Franke,1986,8,0,2.625
1781,Genesis,Tangerine Dream,Pop/Rock,Edgar Froese,1987,4,0,3.0
1782,Purple Haze,Tangerine Dream,Aggressive,Jimi Hendrix,1977,5,138,2.6666666666666665
1783,Estoy Aquí,Shakira,Latin,Luis Fernando Ochoa,1996,10,3,3.2857142857142856
1784,Objection (Tango),Shakira,International,Shakira,2001,3,2,2.833333333333333
1785,Si Te Vas,Shakira,Latin,Luis Fernando Ochoa,1998,3,0,4.0
1786,Ojos Así,Shakira,Latin,Pablo Flores,2000,2,0,3.25
1787,Que Me Quedes Tu,Shakira,Latin,Luis Fernando Ochoa,2001,3,0,3.75
1788,"Ciega, Sordomuda",Shakira,Latin,Shakira Mebarak,1998,5,2,3.5
1789,Mack the Knife,Bobby Darin,Pop/Rock,Marc Blitzstein,1959,95,309,2.7788461538461537
1790,If I Were a Carpenter,Bobby Darin,Pop/Rock,Tim Hardin,1966,49,99,2.897058823529412
1791,Queen of the Hop,Bobby Darin,Pop/Rock,Woody Harris,1958,30,7,2.923076923076923
1792,Call Me Irresponsible,Bobby Darin,Jazz,Sammy Cahn,1964,35,90,2.5526315789473686
1793,Things,Bobby Darin,Rousing,Bobby Darin,1962,27,34,3.1
1794,You're the Reason I'm Living,Bobby Darin,Country,Bobby Darin,1963,28,11,2.9
1795,Clementine,Bobby Darin,Happy,Woody Harris,1960,21,4,2.833333333333333
1796,"Hello, Dolly!",Bobby Darin,Jazz,Jerry Herman,1964,23,228,2.71875
1797,Early in the Morning,Bobby Darin,Aggressive,Bobby Darin,1961,17,18,2.625
1798,Lazy River,Bobby Darin,Sentimental,Sidney Arodin,1961,25,232,2.9285714285714284
1799,You Must Have Been a Beautiful Baby,Bobby Darin,Pop/Rock,Johnny Mercer,1961,21,86,3.1538461538461537
1800,Superstition,Stevie Wonder,Pop/Rock,Stevie Wonder,1972,267,156,3.083333333333333
1801,What Christmas Means to Me,Stevie Wonder,R&B,Anna Gordy Gaye,1967,271,32,3.071428571428572
1802,I Just Called to Say I Love You,Stevie Wonder,Pop/Rock,Stevie Wonder,1984,152,115,3.3461538461538463
1803,For Once in My Life,Stevie Wonder,R&B,Ron Miller,1968,137,141,3.0434782608695654
1804,You Are the Sunshine of My Life,Stevie Wonder,Pop/Rock,Stevie Wonder,1972,120,203,3.21875
1805,Isn't She Lovely,Stevie Wonder,R&B,Stevie Wonder,1976,120,143,3.55
1806,My Cherie Amour,Stevie Wonder,R&B,Henry Cosby,1970,80,100,2.9705882352941178
1807,Sir Duke,Stevie Wonder,R&B,Stevie Wonder,1976,65,52,3.5384615384615383
1808,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,R&B,Lee Garrett,1970,64,57,3.03125
1809,Higher Ground,Stevie Wonder,R&B,Stevie Wonder,1973,57,69,3.5
1810,I Was Made to Love Her,Stevie Wonder,R&B,Henry Cosby,1967,56,30,3.256756756756757
1811,Part-Time Lover,Stevie Wonder,Pop/Rock,Stevie Wonder,1985,53,28,3.388888888888889
1812,I Wish,Stevie Wonder,R&B,Stevie Wonder,1976,36,75,3.772727272727273
1813,One Little Christmas Tree,Stevie Wonder,Laid-Back/Mellow,Ron Miller,1967,49,2,3.0
1814,Living for the City,Stevie Wonder,R&B,Stevie Wonder,1973,28,52,3.3846153846153846
1815,If You Really Love Me,Stevie Wonder,R&B,Stevie Wonder,1971,38,16,2.894736842105264
1816,Blowin' in the Wind,Stevie Wonder,R&B,Bob Dylan,1966,33,254,3.35
1817,"Fingertips, Pt. 2",Stevie Wonder,R&B,Henry Cosby,1963,29,1,3.323529411764706
1818,It's Only Make Believe,Conway Twitty,Pop/Rock,Jack Nance,1958,151,69,2.426966292134832
1819,Hello Darlin',Conway Twitty,Country,Conway Twitty,1970,133,30,2.525641025641025
1820,You've Never Been This Far Before,Conway Twitty,Country,Conway Twitty,1973,80,7,2.357142857142857
1821,Linda on My Mind,Conway Twitty,Country,Conway Twitty,1975,74,7,2.6630434782608696
1822,Danny Boy,Conway Twitty,Country,Frederick Edward Weatherly,1959,56,448,2.35
1823,Touch the Hand,Conway Twitty,Country,Ron Peterson,1975,54,1,2.397058823529412
1824,I'm Not Through Loving You Yet,Conway Twitty,Country,Conway Twitty,1974,45,2,2.5
1825,After All the Good Is Gone,Conway Twitty,Country,Floyd Cramer,1976,49,1,2.2884615384615383
1826,Don't Cry Joni,Conway Twitty,Country,Conway Twitty,1976,45,3,2.020833333333333
1827,Games That Daddies Play,Conway Twitty,Country,Conway Twitty,1976,45,1,2.3541666666666665
1828,(I Can't Believe) She Gives It All to Me,Conway Twitty,Country,Conway Twitty,1977,43,0,2.625
1829,Baby's Gone,Conway Twitty,Country,Bill Parks,1973,39,0,2.475
1830,I Can't See Me Without You,Conway Twitty,Country,Conway Twitty,1972,38,3,2.6944444444444446
1831,I'll Try,Conway Twitty,Yearning,Jack Nance,1959,37,3,2.357142857142857
1832,Lonely Blue Boy,Conway Twitty,Pop/Rock,Ben Weisman,1959,29,13,3.083333333333333
1833,(Lost Her Love) On Our Last Date,Conway Twitty,Country,Floyd Cramer,1972,29,0,3.0625
1834,This Time I've Hurt Her More (Than She Loves Me),Conway Twitty,Country,Earl Thomas Conley,1975,29,3,2.4411764705882355
1835,As Soon as I Hang Up the Phone,Conway Twitty,Country,Jack Nance,1991,36,1,1.9166666666666667
1836,Mona Lisa,Conway Twitty,Pop/Rock,Ray Evans,1959,26,201,2.617647058823529
1837,Happy Birthday Darlin',Conway Twitty,Country,Chuck Howard,1979,24,2,3.25
1838,Silent Night,Mormon Tabernacle Choir,Laid-Back/Mellow,Franz Gruber,1984,14,1642,2.4375
1839,Joy to the World,Mormon Tabernacle Choir,Laid-Back/Mellow,Lowell Mason,1984,10,505,2.75
1840,Lord's Prayer,Mormon Tabernacle Choir,Classical,Albert Hay Malotte,1990,8,192,3.5
1841,O Holy Night,Mormon Tabernacle Choir,Sentimental,Adolphe Adam,1986,9,588,2.583333333333333
1842,Hallelujah Chorus,Mormon Tabernacle Choir,Happy,George Frederick Handel,1973,8,55,2.833333333333333
1843,Hark! The Herald Angels Sing,Mormon Tabernacle Choir,Laid-Back/Mellow,Felix Mendelssohn,1986,8,531,2.7
1844,Battle Hymn of the Republic,Mormon Tabernacle Choir,Happy,Traditional,1959,4,107,2.5
1845,Angels We Have Heard on High,Mormon Tabernacle Choir,Sentimental,Traditional,1989,6,690,3.0
1846,O Tannenbaum,Mormon Tabernacle Choir,Religious,Traditional,1984,6,225,2.75
1847,Carol of the Bells,Mormon Tabernacle Choir,Happy,Mykola Leontovych,1977,6,148,2.25
1848,Star Spangled Banner,Mormon Tabernacle Choir,Happy,Francis Scott Key,1980,5,207,2.5
1849,O Come All Ye Faithful,Mormon Tabernacle Choir,Uplifting,Frederick Oakeley,1984,6,432,3.25
1850,Amazing Grace (Tune: New Britain),Mormon Tabernacle Choir,Austere,John Newton,2008,1,8,3.5
1851,One Voice,Barry Manilow ,Pop/Rock,Barry Manilow,2005,1,22,2.7683596924826177
1852,When Johnny comes marching home,Mormon Tabernacle Choir,Religious,Louis Lambert,1992,1,17,3.5
1853,It's a Grand Night for Singing,Columbia Symphony Orchestra ,Religious,Oscar Hammerstein II,1979,1,30,2.7683596924826177
1854,"Music for 18 Musicians, for 4 female voices & 16 instruments~Pulses",Steve Reich,Avant-Garde,Steve Reich,1997,4,0,3.875
1855,"Come Out, for tape",Steve Reich,Avant-Garde,Steve Reich,1987,2,0,4.5
1856,"Drumming, for 2 female voices, piccolo, 4 pairs of bongos, 3 marimbas & 3 glockenspiels~Part 3",Bob Becker ,Classical,Steve Reich,1974,1,0,2.7683596924826177
1857,"It's Gonna Rain, for tape~",Steve Reich,Avant-Garde,Steve Reich,1987,1,0,4.5
1858,"Clapping Music, for 2 performers",Russ Hartenberger ,Avant-Garde,Steve Reich,1987,1,2,4.5
1859,"Music for Mallet Instruments, Voices and Organ, for 3 female voices, 3 marimbas, 3 glockenspiels, vibes & organ",Steve Reich,Avant-Garde,Steve Reich,1990,3,2,3.6666666666666665
1860,"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 6",Steve Reich,Classical,Steve Reich,1998,2,0,4.5
1861,"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 3B",Steve Reich,Classical,Steve Reich,1998,2,0,4.5
1862,"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 3A",Steve Reich,Classical,Steve Reich,1998,2,0,4.5
1863,Appalachian Morning,Paul Winter Consort,Classical,Paul Halley,1990,3,1,2.1666666666666665
1864,Dolphin Morning,Paul Winter,Jazz,Paul Halley,1983,2,0,4.0
1865,Icarus,Paul Winter,New Age,Ralph Towner,1988,1,22,4.0
1866,Green Dreams,Paul Winter,Pop/Rock,Eugene Friesen,1987,2,0,3.25
1867,Juniper Bear,Paul Winter Consort,New Age,Ralph Towner,1973,1,1,3.0
1868,Wolf Eyes,Paul Winter,Jazz,David Darling,1977,1,0,4.5
1869,Common Ground (Velho Sermao),Paul Winter,Jazz,Ronaldo Monteiro de Souza,1977,1,0,4.5
1870,Kyrie,Paul Winter,New Age,Paul Halley,1987,1,0,2.5
1871,Down in Belgorod,Paul Winter,New Age,Oscar Castro-Neves,1987,1,2,2.5
1872,Summer Samba (Samba de Verão),Marcos Valle,International,Marcos Valle,1993,8,22,3.142857142857143
1873,Previsão Do Tempo,Marcos Valle,International,Marcos Valle,1973,6,0,4.0
1874,Bags' Groove,Milt Jackson,Jazz,Milt Jackson,1952,29,168,3.0
1875,'Round Midnight,Milt Jackson,Jazz,Bernie Hanighen,1962,5,718,3.1666666666666665
1876,On Green Dolphin Street,Milt Jackson ,Jazz,Bronislaw Kaper,1961,5,349,3.5
1877,Ev'ry Time We Say Goodbye,Milt Jackson,Vocal,Cole Porter,1964,4,311,3.0
1878,So in Love,Milt Jackson,Jazz,Cole Porter,1957,9,344,3.0
1879,How Long Blues,Ray Charles ,Blues,Leroy Carr,1957,5,78,4.0
1880,Bags & Trane,John Coltrane ,Jazz,Milt Jackson,1959,4,2,3.6666666666666665
1881,Late Late Blues,John Coltrane ,Jazz,Milt Jackson,1959,4,3,3.6666666666666665
1882,Tahiti,Milt Jackson,Jazz,Milt Jackson,1952,8,6,3.8333333333333335
1883,Good Bait,Milt Jackson,Jazz,Count Basie,1982,2,76,3.25
1884,Night We Called It a Day,John Coltrane ,Jazz,Tom Adair,1959,4,77,3.6666666666666665
1885,Three Little Words,John Coltrane ,Jazz,Bert Kalmar,1959,4,217,3.6666666666666665
1886,I Got It Bad and That Ain't Good,Milt Jackson,Jazz,Duke Ellington,1961,4,343,2.5
1887,Blues For Juanita,Milt Jackson,Jazz,Milt Jackson,1961,3,1,2.5
1888,Bag's Guitar Blues,Ray Charles,Jazz,Milt Jackson,1989,3,0,4.25
1889,Sunflower,Milt Jackson,Jazz,Freddie Hubbard,1973,3,3,3.333333333333333
1890,Cosmic Ray,Ray Charles ,Jazz,Ray Charles,1957,7,1,3.75
1891,Vamonos Pa'L Monte,Eddie Palmieri,Jazz,Eddie Palmieri,1969,185,8,3.5
1892,Azucar,Eddie Palmieri,Jazz,Eddie Palmieri,1964,16,6,3.2222222222222223
1893,Muneca,Eddie Palmieri,International,Eddie Palmieri,1971,10,7,3.625
1894,Bilongo,Eddie Palmieri,Jazz,Guillermo Rodriguez Fiffe,1968,11,29,3.357142857142857
1895,Mi Mambo Conga,Eddie Palmieri,Jazz,Eddie Palmieri,1964,9,1,3.5
1896,Palo Pa' Rumba,Eddie Palmieri,Jazz,Eddie Palmieri,1984,8,1,3.5
1897,Oyelo Que Te Conviene,Eddie Palmieri,Jazz,Eddie Palmieri,1964,7,5,3.5
1898,Pa' Huele,Eddie Palmieri,Jazz,Arsenio Rodríguez,1971,7,0,3.2
1899,Bamboleate,Eddie Palmieri ,Jazz,Eddie Palmieri,1967,7,1,3.2
1900,Justicia,Eddie Palmieri,Jazz,Eddie Palmieri,1969,5,2,3.0
1901,Revolt/La Libertad Logico,Eddie Palmieri,Jazz,Eddie Palmieri,1971,6,1,3.125
1902,Picadillo,Cal Tjader,Jazz,Tito Puente,1961,10,17,2.75
1903,La Verdad,Eddie Palmieri,Jazz,Eddie Palmieri,1987,5,0,3.1666666666666665
1904,Puerto Rico,Eddie Palmieri,Latin,Eddie Palmieri,1973,5,6,2.833333333333333
1905,Cuídate Compay,Eddie Palmieri,Jazz,Eddie Palmieri,1964,4,3,3.6666666666666665
1906,Adoracion,Eddie Palmieri,Latin,Eddie Palmieri,1999,4,8,2.5
1907,Resemblance,Eddie Palmieri,Jazz,Eddie Palmieri,1967,4,4,3.6666666666666665
1908,La Malanga,Eddie Palmieri,Jazz,Rudy Calzado,1970,7,5,3.5
1909,Hark! The Herald Angels Sing,London Symphony Orchestra ,Classical,Felix Mendelssohn,1990,8,531,1.9
1910,Little Drummer Boy,Vienna Boys' Choir,Spiritual,Katherine K. Davis,1990,9,716,2.5
1911,O Tannenbaum (O Christmas Tree) (German),Vienna Boys' Choir,Classical,Traditional,1995,8,55,2.875
1912,"Good Christian Men, Rejoice",London Symphony Orchestra ,Classical,Traditional,1988,4,69,2.5
1913,Silent Night,Vienna Boys' Choir,Classical,Franz Gruber,1990,8,1642,2.3
1914,I Saw Three Ships,Vienna Boys' Choir,Holiday,William Sandys,1988,3,209,3.1666666666666665
1915,Mighty Fortress Is Our God (Ein feste Burg),Plácido Domingo ,Reverent,Martin Luther,1988,2,4,2.25
1916,O Tannenbaum,Vienna Boys' Choir,Holiday,Traditional,1995,6,225,2.6666666666666665
1917,Deck the Halls (Welsh),Vienna Boys' Choir,Holiday,Traditional,1988,2,102,3.0
1918,Joy to the World,Vienna Boys' Choir,Pop/Rock,George Frederick Handel,1995,1,36,1.5
1919,Once in Royal David's City,Vienna Boys' Choir,Holiday,Traditional,1988,5,61,2.5
1920,Ding Dong! Merrily on High (French),Vienna Boys' Choir,Cheerful,Traditional,1988,1,29,2.5
1921,Something's Gotta Give,"Sammy Davis, Jr.",Vocal,Johnny Mercer,1955,45,86,2.823529411764706
1922,Candy Man,"Sammy Davis, Jr.",Stage & Screen,Leslie Bricusse,1972,36,36,2.625
1923,What Kind of Fool Am I?,"Sammy Davis, Jr.",Vocal,Leslie Bricusse,1962,27,143,2.923076923076923
1924,Hey There,"Sammy Davis, Jr.",Jazz,Richard Adler,1954,32,124,3.0
1925,That Old Black Magic,"Sammy Davis, Jr.",Vocal,Harold Arlen,1955,33,392,2.9411764705882355
1926,Birth of the Blues,"Sammy Davis, Jr.",Vocal,Lew Brown,1955,21,150,3.227272727272727
1927,Lady Is a Tramp,Frank Sinatra,Jazz,Lorenz Hart,1957,10,325,3.5
1928,Me and My Shadow,"Sammy Davis, Jr. ",Jazz,Dave Dreyer,1990,10,70,3.4375
1929,Mr. Bojangles,"Sammy Davis, Jr.",Laid-Back/Mellow,Jerry Jeff Walker,1977,15,102,3.111111111111111
1930,As Long as She Needs Me,"Sammy Davis, Jr.",Jazz,Lionel Bart,1963,11,19,3.1666666666666665
1931,Gonna Build a Mountain,"Sammy Davis, Jr.",Jazz,Leslie Bricusse,1962,12,25,3.25
1932,I've Gotta Be Me,"Sammy Davis, Jr.",Vocal,Walter Marks,1968,13,27,3.25
